Campaign,Ad Group,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Description 1,Description 2,Description 3,Description 4,Final URL,Path 1,Path 2,Status
Search — Маршруты — Exact — UA/BG,Одесса — Бургас,Responsive search ad,Автобус Одесса–Бургас,Прямой рейс в Бургас,Отправление от Привоза,Быстро проходим границу,На линии с 1992 года,Лицензионная линия,Остановки в пути,Современный автопарк,Купи билет за 2 минуты,Бронь билета онлайн,"Wi-Fi, кондиционер, USB",Максимов Турс,Прямой автобус Одесса – Бургас через Варну. Опыт с 1992 года.,"Купи или забронируй билет онлайн за 2 минуты. Wi-Fi, кондиционер, USB.",Лицензионная регулярная линия. Быстро проходим границу.,"Современный автопарк, салоны регулярно проходят химчистку.",https://maximovtours.com/odessa-burgas,odessa-burgas,,Enabled
Search — Маршруты — Exact — UA/BG,Варна — Одесса,Responsive search ad,Автобус Варна–Одесса,Прямой рейс в Одессу,От автостанции Варны,Быстро проходим границу,На линии с 1992 года,Лицензионная линия,Остановки в пути,Современный автопарк,Купи билет за 2 минуты,Бронь билета онлайн,"Wi-Fi, кондиционер, USB",Максимов Турс,Прямой автобус Варна – Одесса без пересадок. Опыт с 1992 года.,"Купи или забронируй билет онлайн за 2 минуты. Wi-Fi, кондиционер, USB.",Лицензионная регулярная линия. Быстро проходим границу.,"Современный автопарк, салоны регулярно проходят химчистку.",https://maximovtours.com/varna-odessa,varna-odessa,,Enabled
Search — Маршруты — Exact — UA/BG,Одесса — Солнечный берег,Responsive search ad,Автобус Одесса–Солнечный берег,Прямой рейс на Солн. берег,Отправление от Привоза,Быстро проходим границу,На линии с 1992 года,Лицензионная линия,Остановки в пути,Современный автопарк,Купи билет за 2 минуты,Бронь билета онлайн,"Wi-Fi, кондиционер, USB",Максимов Турс,Прямой автобус Одесса – Солнечный берег через Варну. Опыт с 1992 года.,"Купи или забронируй билет онлайн за 2 минуты. Wi-Fi, кондиционер, USB.",Лицензионная регулярная линия. Быстро проходим границу.,"Современный автопарк, салоны регулярно проходят химчистку.",https://maximovtours.com/odessa-solnechniy-bereg,odessa-sb,,Enabled
Search — Маршруты — Exact — UA/BG,Бургас — Одесса,Responsive search ad,Автобус Бургас–Одесса,Прямой рейс в Одессу,Через Варну и Солн. берег,Быстро проходим границу,На линии с 1992 года,Лицензионная линия,Остановки в пути,Современный автопарк,Купи билет за 2 минуты,Бронь билета онлайн,"Wi-Fi, кондиционер, USB",Максимов Турс,Прямой автобус Бургас – Одесса через Варну. Опыт с 1992 года.,"Купи или забронируй билет онлайн за 2 минуты. Wi-Fi, кондиционер, USB.",Лицензионная регулярная линия. Быстро проходим границу.,"Современный автопарк, салоны регулярно проходят химчистку.",https://maximovtours.com/burgas-odessa,burgas-odessa,,Enabled
Search — Маршруты — Exact — UA/BG,Солнечный берег — Одесса,Responsive search ad,Автобус Солнечный берег–Одесса,Прямой рейс в Одессу,От Солнечного берега,Быстро проходим границу,На линии с 1992 года,Лицензионная линия,Остановки в пути,Современный автопарк,Купи билет за 2 минуты,Бронь билета онлайн,"Wi-Fi, кондиционер, USB",Максимов Турс,Прямой автобус Солнечный берег – Одесса без пересадок. Опыт с 1992 года.,"Купи или забронируй билет онлайн за 2 минуты. Wi-Fi, кондиционер, USB.",Лицензионная регулярная линия. Быстро проходим границу.,"Современный автопарк, салоны регулярно проходят химчистку.",https://maximovtours.com/solnechniy-bereg-odessa,sb-odessa,,Enabled
Search — Маршруты — Exact — UA/BG,Одесса — Констанца,Responsive search ad,Автобус Одесса–Констанца,Прямой рейс в Констанцу,Отправление от Привоза,Быстро проходим границу,На линии с 1992 года,Лицензионная линия,Остановки в пути,Современный автопарк,Купи билет за 2 минуты,Бронь билета онлайн,"Wi-Fi, кондиционер, USB",Максимов Турс,Прямой автобус Одесса – Констанца без пересадок. Опыт с 1992 года.,"Купи или забронируй билет онлайн за 2 минуты. Wi-Fi, кондиционер, USB.",Лицензионная регулярная линия. Быстро проходим границу.,"Современный автопарк, салоны регулярно проходят химчистку.",https://maximovtours.com/odessa-constanta,odessa-const,,Enabled
Search — Маршруты — Exact — UA/BG,Констанца — Одесса,Responsive search ad,Автобус Констанца–Одесса,Прямой рейс в Одессу,От автовокзала Констанцы,Быстро проходим границу,На линии с 1992 года,Лицензионная линия,Остановки в пути,Современный автопарк,Купи билет за 2 минуты,Бронь билета онлайн,"Wi-Fi, кондиционер, USB",Максимов Турс,Прямой автобус Констанца – Одесса без пересадок. Опыт с 1992 года.,"Купи или забронируй билет онлайн за 2 минуты. Wi-Fi, кондиционер, USB.",Лицензионная регулярная линия. Быстро проходим границу.,"Современный автопарк, салоны регулярно проходят химчистку.",https://maximovtours.com/constanta-odessa,const-odessa,,Enabled
